title,link,summary
Still haven't filed your taxes? Here's what you need to know,https://www.cnn.com/2023/04/13/success/tax-filing-tips/index.html,"So far this tax season, the IRS has received more than 90 million income tax returns for 2022."
Retail spending fell in March as consumers pull back,https://www.cnn.com/2023/04/14/economy/march-retail-sales/index.html,Spending at US retailers fell in March as consumers pulled back amid recessionary fears fueled by the banking crisis.
Analysis: Fox News is about to enter the true No Spin Zone,https://www.cnn.com/2023/04/14/media/fox-news-dominion-hnk-intl/index.html,This is it.
Silicon Valley Bank collapse renews calls to address disparities impacting entrepreneurs of color,https://www.cnn.com/2023/04/13/business/silicon-valley-bank-entrepreneurs-of-color-reaj/index.html,"When customers at Silicon Valley Bank rushed to withdraw billions of dollars last month, venture capitalist Arlan Hamilton stepped in to help some of the founders of color who panicked about losing access to payroll funds."
"Not only is Lake Powell's water level plummeting because of drought, its total capacity is shrinking, too",https://www.cnn.com/2022/03/21/us/lake-powell-capacity-shrinking-drought-climate/index.html,"Lake Powell, the second-largest human-made reservoir in the US, has lost nearly 7% of its potential storage capacity since 1963, when Glen Canyon Dam was built, a new report shows."
"These were the best and worst places for air quality in 2021, new report shows",https://www.cnn.com/2022/03/22/world/air-pollution-2021-iqair-report-climate/index.html,"Air pollution spiked to unhealthy levels around the world in 2021, according to a new report."
Big-box stores could help slash emissions and save millions by putting solar panels on roofs. Why aren't more of them doing it?,https://www.cnn.com/2022/03/20/us/solar-power-on-big-box-store-rooftops-climate/index.html,"As the US attempts to wean itself off its heavy reliance on fossil fuels and shift to cleaner energy sources, many experts are eyeing a promising solution: your neighborhood big-box stores and shopping malls."
Look of the Week: Blackpink headline Coachella in Korean hanboks,https://www.cnn.com/style/article/blackpink-coachella-2023-hanboks-lotw/index.html,"Bringing the second day of this year's Coachella to a close, K-Pop girl group Blackpink made history Saturday night when they became the first Asian act to ever headline the festival. To a crowd of, reportedly, over 125,000 people, Jennie, Jisoo, Lisa and Rosé used the ground-breaking moment to pay homage to Korean heritage by arriving onstage in hanboks: a tradi..."
Scientists identify secret ingredient in Leonardo da Vinci paintings,https://www.cnn.com/style/article/old-masters-da-vinci-egg-yolk-painting-scn/index.html,"""Old Masters"" such as Leonardo da Vinci, Sandro Botticelli and Rembrandt may have used proteins, especially egg yolk, in their oil paintings, according to a new study."
How Playboy cut ties with Hugh Hefner to create a post-MeToo brand,https://www.cnn.com/style/article/playboy-the-conversation/index.html,"Hugh Hefner launched Playboy Magazine 70 years ago this year. The first issue included a nude photograph of Marilyn Monroe, which he had purchased and published without her knowledge or consent."
'A definitive backslide.' Inside fashion's worrying runway trend,https://www.cnn.com/style/article/fashion-week-fall-winter-2023-size-diversity-skinny-wegovy/index.html,"Now that the Fall-Winter 2023 catwalks have been disassembled, it's clear one trend was more pervasive than any collective penchant for ruffles, pleated skirts or tailored coats."
Michael Jordan's 1998 NBA Finals sneakers sell for a record $2.2 million,https://www.cnn.com/style/article/michael-jordan-sneakers-1998-finals-sothebys-auction-record/index.html,"In 1998, Michael Jordan laced up a pair of his iconic black and red Air Jordan 13s to bring home a Bulls victory during Game 2 of his final NBA championship — and now they are the most expensive sneakers ever to sell at auction.

The game-winning sneakers sold for $2.2 million at Sotheby's in New York on Tuesday, smashing the sneaker auction record of $1.47 milli..."
The surreal facades of America's strip clubs,https://www.cnn.com/style/article/francois-prost-gentlemens-club/index.html,"Some people travel the world in search of adventure, while others seek out natural wonders, cultural landmarks or culinary experiences. But French photographer François Prost was looking for something altogether different during his recent road trip across America: strip clubs."
Here's the real reason to turn on airplane mode when you fly,https://www.cnn.com/travel/article/airplane-mode-reasons-why/index.html,"We all know the routine by heart: ""Please ensure your seats are in the upright position, tray tables stowed, window shades are up, laptops are stored in the overhead bins and electronic devices are set to flight mode."""
"'I was up to my waist down a hippo's throat.' He survived, and here's his advice",https://www.cnn.com/travel/article/hippo-attack-avoid-survive-paul-templer/index.html,Paul Templer was living his best life.
They bought an abandoned 'ghost house' in the Japanese countryside,https://www.cnn.com/travel/article/couple-turned-abandoned-japanese-home-into-guest-house/index.html,"He'd spent years backpacking around the world, and Japanese traveler Daisuke Kajiyama was finally ready to return home to pursue his long-held dream of opening up a guesthouse."
Relaxed entry rules make it easier than ever to visit this stunning Asian nation,https://www.cnn.com/travel/article/mongolia-reasons-to-visit-2023/index.html,"Due to its remoteness and short summer season, Mongolia has long been a destination overlooked by travelers."
The most beautiful sections of China's Great Wall,https://www.cnn.com/travel/article/china-beautiful-great-wall-sections-cmd/index.html,"Having lived in Beijing for almost 12 years, I've had plenty of time to travel widely in China."
"Nelly Cheboi, who creates computer labs for Kenyan schoolchildren, is CNN's Hero of the Year",https://www.cnn.com/2022/12/11/us/cnn-heroes-all-star-tribute-hero-of-the-year/index.html,Celebrities and musicians are coming together tonight to honor everyday people making the world a better place.
Donate now to a Top 10 CNN Hero,https://www.cnn.com/videos/tv/2021/11/26/how-to-donate-matching-cnnheroes.cnn,Anderson Cooper explains how you can easily donate to any of the 2021 Top 10 CNN Heroes.
