title,link,summary
Five of the Best: Title music,https://www.eurogamer.net/five-of-the-best-title-music," Five of the Best is a weekly series for supporters of Eurogamer. It's a series that highlights some of the features in games that often overlooked. It's also about having your say, so don't be shy, use the comments below and join in!Oh and you can find our entire Five of the Best archive elsewhere on the site.This is a tricky one to narrow down because 'music in..."
Why are visual novels suddenly so popular?,https://www.eurogamer.net/why-are-visual-novels-suddenly-so-popular," 
If you've visited Steam in the last decade, you're likely already acquainted with visual novels. Though games like Famicom Detective's Club saw the inception of the visual novel in the 1980s, they've reached a particular zenith on Steam, thanks mostly to a plethora of very horny games.

But hidden among the shovelware is a wealth of original and interesting pie..."
Dear Square Enix: please bring back Final Fantasy's mini-games,https://www.eurogamer.net/dear-square-enix-please-bring-back-final-fantasys-minigames," 
Ask me to pick two moments that sum up Final Fantasy X and I'd probably roll with 1) Yuna dancing on the ocean at Kilika to send the souls of the dead to the Farplane, and 2) Tidus performing a Sphere Shot in Blitzball. The first because it's a mesmerising performance of grief and transcendence, the second because it's patently daft in the best of ways. Blitzba..."
The very strange yet promising yet too-weird world of Eternal Champions,https://www.eurogamer.net/the-very-strange-yet-promising-yet-too-weird-world-of-eternal-champions," 
I can't remember when I bought Eternal Champions, which is annoying because I always remember obscure purchases to the detriment of remembering genuinely useful things. Besides the fact it would have been a Mega Drive game I hadn't seen before, I can be fairly confident that the game cover sold it to me. I would have been about 10 at the time and my sole refere..."
Baldur's Gate 3 PC tech review: polish that puts other AAA games to shame,https://www.eurogamer.net/digitalfoundry-2023-baldurs-gate-3-pc-tech-review-polish-that-puts-other-aaa-games-to-shame," Baldur's Gate 3 has left a long early access period to critical acclaim and massive success - and after playing it I can understand why. Baldur's Gate 3 digitises the free-form gameplay of D&D in a way that keeps the spirit of the tabletop role-playing game intact, resulting in some of the most interactive and reactive narrative and gameplay that the medium has ..."
How En Garde!'s fencing earned its cinematic flourishes,https://www.eurogamer.net/how-en-gardes-fencing-earned-its-cinematic-flourishes," 
During my twenties, I decided that I would start fencing.

I wasn't very strong, but I did have some quickness and agility, and I liked how fencers seemed to epitomise those last two qualities. I wasn't very good at the sport, ultimately, because fencing doesn't just require speed and agility, but also timing, distance measurement, and skill. (I also foolishly ..."
Game of the Week: Turbo Overkill and the joys of video game excess,https://www.eurogamer.net/game-of-the-week-turbo-overkill-and-the-joys-of-video-game-excess," 
One thing I remember about lockdown is this weird thing that happened when lockdown ended. After days and weeks and months of being indoors - home schooling, masked chats to the Tesco delivery people and endless Netflix binges of Below Deck - just stepping outside was this wild kind of sensory overload.

And I mean any kind of stepping outside. Taking the bins ..."
What we've been playing,https://www.eurogamer.net/what-weve-been-playing-121," Hello! Welcome back to our regular feature where we write a little bit about some of the games we've found ourselves playing over the last few days. This time: growing boredom, connections, and a good treasure map.If you fancy catching up on some of the older editions of What We've Been Playing, here's our archive.I have a lot of conflicting thoughts about Diabl..."
The Order: 1886 pushed visuals hard in 2015 - and still looks stunning today,https://www.eurogamer.net/digitalfoundry-2023-the-order-1886-pioneered-modern-rendering-techniques-in-2015-and-remains-a-stunning-title-in-2023," In February 2015, The Order: 1886 came and went. This third-person narrative-driven action game arrived on PS4 with plenty of hype, but it delivered what felt like a prologue for a larger concept and achieved a lowly Metacritic score of just 63. Some loved it of course, but the game never received a sequel or even a PS4 Pro upgrade. It's a game with limitations,..."
Five of the Best: Spells,https://www.eurogamer.net/five-of-the-best-spells," Five of the Best is a weekly series for supporters of Eurogamer. It's a series that highlights some of the features in games that often overlooked. It's also about having your say, so don't be shy, use the comments below and join in!Oh and you can find our entire Five of the Best archive elsewhere on the site.Gosh, I can't remember the first game I played that h..."
DirectX 11 vs Vulkan: which is best for Baldur's Gate 3?,https://www.eurogamer.net/digitalfoundry-2023-baldurs-gate-3-directx-11-vs-vulkan-which-is-best," The Baldur's Gate 3 launcher offers a choice between DirectX 11 and Vulkan - so which is the best in terms of performance and stability? The launcher defaults to DX11, while Larian support documents suggest Vulkan, so in the face of this conflicting advice there's only one thing to do: get testing. We trialled both options on a range of systems with Nvidia, Inte..."
"Thronefall: kingdom building, hack-and-slash, and the spirit of Lumines?!",https://www.eurogamer.net/thronefall-kingdom-building-hack-and-slash-and-the-spirit-of-lumines," 
For the last few days I've been trying to understand what it is exactly that Thronefall reminds me of. This is the follow-up game from the small team that made Islanders, a brilliant minimalist city builder that I properly love. Although Thronefall has its own city building elements and a breezy deftness when it comes to conjuring a sense of nature, it's not Is..."
The joys of Pokémon Go Fest London,https://www.eurogamer.net/the-joys-of-pokemon-go-fest-london," 
Pokémon Go's newly-introduced Showcases are one of my favourite additions to the game in years. They're local leaderboards, in a nutshell - a feature which first debuted in developer Niantic's now-canned NBA All-Stars - that let you show off specific Pokémon and win in-game rewards. What's really great about Showcases, though, is their smart design with a very ..."
A weekend with Clash Mini,https://www.eurogamer.net/a-weekend-with-clash-mini," 
I've been excited about Clash Mini since it was announced. The idea's simple: the Clash universe, with all the units and concepts I already understand, but this time instead of the streamlined tower-defence battles of Clash Royale, it's something closer to a brisk spin on the auto battler genre. This is a sort of game I'd always wanted to get into but struggled..."
Pikmin 4 delivers an Unreal improvement over its predecessors,https://www.eurogamer.net/digitalfoundry-2023-pikmin-4-tested-on-switch-nintendos-series-moves-to-unreal-engine," Hot off the heels of the Pikmin 1 and 2 HD remasters on  Switch, we have a completely new series entry in Pikmin 4. It's been a decade-long wait, but in that time Nintendo has jettisoned its in-house engine in favour of Unreal Engine 4, which provides some of the most striking visuals seen on Switch to date. But how much of a graphical leap is it over the Wii U ..."
"After 23 years, Starfield's ancestor Noctis is still a vision of the future",https://www.eurogamer.net/after-23-years-starfields-ancestor-noctis-is-still-a-vision-of-the-future," 
Over the decades I've been playing video games, I've flown spaceships made of futuristic alloys and bubbles of energy, and I've flown spaceships hammered together from wooden planks, chunky metal bolts and flapping sailcloth. I've flown ships that extrapolate believably from the design of the International Space Station, and I've flown ships that are basically ..."
Are you still playing Zelda: Tears of the Kingdom?,https://www.eurogamer.net/are-you-still-playing-zelda-tears-of-the-kingdom," 
I love Zelda: Tears of the Kingdom's new Hyrule Field theme, with the warmth of its full chords and then that gorgeous single synth note that always feels like it's just emerging, like the first rays of morning but sustained. It's not exactly a melody, but a held note that colours your gameplay with something lovely and almost lyrical, without leaving you stran..."
"RuneScape's new Necromancy skill reinvents combat once again, 22 years on",https://www.eurogamer.net/runescapes-new-necromancy-skill-reinvents-combat-once-again-22-years-on," Do you have the power to raise and control the undead? This is the question RuneScape 3’s new Necromancy skill asks its players.Necromancy is the 29th skill to be released into RuneScape 3, and arrives three years after the last, Archaeology. It’s not just a skill though - Necromancy is the first new combat style to ever be released in RuneScape after 22 years, ..."
Game of the Week: The blossoming fruits of a crowdfunding revolution,https://www.eurogamer.net/game-of-the-week-the-blossoming-fruits-of-a-crowdfunding-revolution," It's hard to ignore this week's big release because everyone's talking about it. And before I talk about it, I want to quickly flag up the wonderful Venba, a game that tells a story through cooking, and makes me very hungry just reading about it. Emad was really taken with it in his Venba review. But back to the big game, the whopper which, if you're me, you've ..."
What we've been playing,https://www.eurogamer.net/what-weve-been-playing-120," Hello! Welcome back to our regular feature where we write a little bit about some of the games we've found ourselves playing over the last few days. This time: warring animals, wordsearches, and inventories.If you fancy catching up on some of the older editions of What We've Been Playing, here's our archive.I am hooked on Squaredle. It is another word-based web ..."
"Modular designs, MMO specials and ultra-lights for FPS: 2023 mouse trends",https://www.eurogamer.net/digitalfoundry-2023-modular-designs-mmo-specials-and-ultralights-for-fps-2023-mouse-trends," What's moving and shaking in the mouse world of 2023? To find out, we've rounded up five of the best mice we've tested over the past few months, from modular designs and MMO/MOBA specials to ultra-light options for competitive gaming. If you've seen our recent round-up of 2023 keyboard trends, this is very much in the same vein: five mini reviews of recently rel..."
Why Baldur's Gate 3's faithful recreation of Dungeons & Dragons is so exciting,https://www.eurogamer.net/why-baldurs-gate-3s-faithful-recreation-of-dungeons-dragons-is-so-exciting," Baldur's Gate 3 comes out on PC today and people seem to be talking about it everywhere. Developer Larian has done great work with the Divinity: Original Sin games and built a strong following, so a lot of the excitement is unsurprising. What does surprise me is where the other surge of excitement is coming from, because it's something I haven't seen before. It'..."
Final Fantasy 14 Fan Fest is a theme park for its passionate community,https://www.eurogamer.net/final-fantasy-14-fan-fest-is-a-theme-park-for-its-passionate-community," 
Naoki Yoshida, Final Fantasy 14's producer and director, has repeatedly described the MMORPG as a theme park for the series, with its wealth of distractions and references to multiple games.

If that's the case, then the Final Fantasy 14 Fan Fest event is the real-life theme park: full of activities, but plagued by queue times.

This was the first in-person Fan..."
Too big for Steam Deck? Remnant 2 and Ratchet and Clank: Rift Apart tested,https://www.eurogamer.net/digitalfoundry-2023-too-big-for-steam-deck-remnant-2-ratchet-and-clank-rift-apart," Two of the most technically advanced current-gen titles have just launched on PC - Ratchet and Clank: Rift Apart and Remnant 2. These games push features like ray tracing, advanced upsampling, virtualised geometry and GPU-driven decompression, taxing even high-end PCs - and yet, both games also received Valve's Steam Deck Verified seal of approval. Can the modes..."
Diablo 4's Season of the Malignant is a hell of my own making,https://www.eurogamer.net/diablo-4-season-1-is-a-hell-of-my-own-making," 
As an avid enthusiast of artful, purposeful suffering in games, returning to Diablo 4 for its first season seems, on the surface, like a joyful midnight binge at McDonalds: a hollow but familiar, mostly satisfying romp through your menu favourites, with useless tchotchkes that come with your meal, whether you want them or not. But once you hit endgame - I maxed..."
Five of the Best: Tear-jerker moments,https://www.eurogamer.net/five-of-the-best-tear-jerker-moments," Five of the Best is a weekly series for supporters of Eurogamer. It's a seris that highlights some of the features in games often overlooked. It's also about having your say, so don't be shy, use the comments below and join in!Oh and you can find our entire Five of the Best archive elsewhere on the site.Spoilers follow for Horizon: Zero Dawn, Rime, Life is Stran..."
