title,link,summary
Saints Row: Platinum Edition v1.16 & All DLC Platinum v6 PS4 FPKGs,https://www.psxhax.com/threads/saints-row-platinum-edition-v1-16-all-dlc-platinum-v6-ps4-fpkgs.16157/,"Proceeding the Latest Backported PS4 Fake PKGs comes a Saints Row...

https://www.psxhax.com/threads/sain...on-v1-16-all-dlc-platinum-v6-ps4-fpkgs.16157/"
PlayStation Store August Savings & Discounts on Select PSN Games,https://www.psxhax.com/threads/playstation-store-august-savings-discounts-on-select-psn-games.16153/,"Beginning today through the end of the month, Sony is offering discounts on select PSN games as part of their...

https://www.psxhax.com/threads/playstation-store-august-savings-discounts-on-select-psn-games.16153/"
Latest Backported PS4 FPKGs by CyB1K with New PSX and PSP Emulators,https://www.psxhax.com/threads/latest-backported-ps4-fpkgs-by-cyb1k-with-new-psx-and-psp-emulators.16149/,"Today PS4 Scene backporter @CyB1K (Cyberpt1000 on...

https://www.psxhax.com/threads/late...y-cyb1k-with-new-psx-and-psp-emulators.16149/"
"Debug Settings, Internet Browser, Game Hub & Store Preview PS5 PKGs by SvenGDK",https://www.psxhax.com/threads/debug-settings-internet-browser-game-hub-store-preview-ps5-pkgs-by-svengdk.16140/,"Earlier this month developer @SvenGDK on Github received a 4.03 PS5...

https://www.psxhax.com/threads/debu...-hub-store-preview-ps5-pkgs-by-svengdk.16140/"
"Clunky Hero, Remoteness and Heavenly Bodies PS4 Game FPKGs",https://www.psxhax.com/threads/clunky-hero-remoteness-and-heavenly-bodies-ps4-game-fpkgs.16139/,"Here's a few more PS4 Game FPKGs including a Clunky Hero v1.01 PS4 PKG, a...

https://www.psxhax.com/threads/clunky-hero-remoteness-and-heavenly-bodies-ps4-game-fpkgs.16139/"
New PS4 FPKG Games + DLC Released by MrBOOT (Fugazi) in PS4Scene,https://www.psxhax.com/threads/new-ps4-fpkg-games-dlc-released-by-mrboot-fugazi-in-ps4scene.16137/,"Here's a new batch of PS4 FPKG Games + DLC released in the...

https://www.psxhax.com/threads/new-ps4-fpkg-games-dlc-released-by-mrboot-fugazi-in-ps4scene.16137/"
PlayStation 5 CFI-2016 (Rumored PS5 Slim) Case Images and Videos,https://www.psxhax.com/threads/playstation-5-cfi-2016-rumored-ps5-slim-case-images-and-videos.16135/,"While a PS5 Slim version of the...

https://www.psxhax.com/threads/playstation-5-cfi-2016-rumored-ps5-slim-case-images-and-videos.16135/"
The DioField Chronicle and Cult of The Lamb: Heretic Edition PS4 FPKGs,https://www.psxhax.com/threads/the-diofield-chronicle-and-cult-of-the-lamb-heretic-edition-ps4-fpkgs.16133/,"Some new PS4 Fake PKG (FPKG) game updates arrived in the...

https://www.psxhax.com/threads/the-...-of-the-lamb-heretic-edition-ps4-fpkgs.16133/"
"PS5 System Software / Firmware 23.01-07.61.00 Live, Don't Update!",https://www.psxhax.com/threads/ps5-system-software-firmware-23-01-07-61-00-live-dont-update.16127/,"Following the PS5 System Software / Firmware 23.01-07.60.00 Update and...

https://www.psxhax.com/threads/ps5-system-software-firmware-23-01-07-61-00-live-dont-update.16127/"
"PS4 System Software / Firmware 10.71 OFW Live, Don't Update!",https://www.psxhax.com/threads/ps4-system-software-firmware-10-71-ofw-live-dont-update.16126/,"Proceeding the PS4 System Software / Firmware 10.70 OFW Update last month, Sony released...

https://www.psxhax.com/threads/ps4-system-software-firmware-10-71-ofw-live-dont-update.16126/"
